date,state,dose,daily_vac
2021-02-24,Johor,1st Booster,0
2021-02-24,Kedah,1st Booster,0
2021-02-24,Kelantan,1st Booster,0
2021-02-24,Melaka,1st Booster,0
2021-02-24,Negeri Sembilan,1st Booster,0
2021-02-24,Pahang,1st Booster,0
2021-02-24,Perak,1st Booster,0
2021-02-24,Perlis,1st Booster,0
2021-02-24,Penang,1st Booster,0
2021-02-24,Sabah,1st Booster,0
2021-02-24,Sarawak,1st Booster,0
2021-02-24,Selangor,1st Booster,0
2021-02-24,Terengganu,1st Booster,0
2021-02-24,Kuala Lumpur,1st Booster,0
2021-02-24,Labuan,1st Booster,0
2021-02-24,Putrajaya,1st Booster,0
2021-02-24,Malaysia,1st Booster,0
2021-02-24,Johor,2nd Booster,0
2021-02-24,Kedah,2nd Booster,0
2021-02-24,Kelantan,2nd Booster,0
2021-02-24,Melaka,2nd Booster,0
2021-02-24,Negeri Sembilan,2nd Booster,0
2021-02-24,Pahang,2nd Booster,0
2021-02-24,Perak,2nd Booster,0
2021-02-24,Perlis,2nd Booster,0
2021-02-24,Penang,2nd Booster,0
2021-02-24,Sabah,2nd Booster,0
2021-02-24,Sarawak,2nd Booster,0
2021-02-24,Selangor,2nd Booster,0
2021-02-24,Terengganu,2nd Booster,0
2021-02-24,Kuala Lumpur,2nd Booster,0
2021-02-24,Labuan,2nd Booster,0
2021-02-24,Putrajaya,2nd Booster,0
2021-02-24,Malaysia,2nd Booster,0
2021-02-24,Johor,2nd Dose,0
2021-02-24,Kedah,2nd Dose,0
2021-02-24,Kelantan,2nd Dose,0
2021-02-24,Melaka,2nd Dose,0
2021-02-24,Negeri Sembilan,2nd Dose,0
2021-02-24,Pahang,2nd Dose,0
2021-02-24,Perak,2nd Dose,0
2021-02-24,Perlis,2nd Dose,0
2021-02-24,Penang,2nd Dose,0
2021-02-24,Sabah,2nd Dose,1
2021-02-24,Sarawak,2nd Dose,1
2021-02-24,Selangor,2nd Dose,0
2021-02-24,Terengganu,2nd Dose,0
2021-02-24,Kuala Lumpur,2nd Dose,0
2021-02-24,Labuan,2nd Dose,0
2021-02-24,Putrajaya,2nd Dose,0
2021-02-24,Malaysia,2nd Dose,2
2021-02-24,Johor,1st Dose,2
2021-02-24,Kedah,1st Dose,0
2021-02-24,Kelantan,1st Dose,0
2021-02-24,Melaka,1st Dose,0
2021-02-24,Negeri Sembilan,1st Dose,0
2021-02-24,Pahang,1st Dose,0
2021-02-24,Perak,1st Dose,0
2021-02-24,Perlis,1st Dose,0
2021-02-24,Penang,1st Dose,0
2021-02-24,Sabah,1st Dose,1
2021-02-24,Sarawak,1st Dose,1
2021-02-24,Selangor,1st Dose,0
2021-02-24,Terengganu,1st Dose,0
2021-02-24,Kuala Lumpur,1st Dose,41
2021-02-24,Labuan,1st Dose,0
2021-02-24,Putrajaya,1st Dose,19
2021-02-24,Malaysia,1st Dose,64
2021-02-25,Johor,1st Booster,0
2021-02-25,Kedah,1st Booster,0
2021-02-25,Kelantan,1st Booster,0
2021-02-25,Melaka,1st Booster,0
2021-02-25,Negeri Sembilan,1st Booster,0
2021-02-25,Pahang,1st Booster,0
2021-02-25,Perak,1st Booster,0
2021-02-25,Perlis,1st Booster,0
2021-02-25,Penang,1st Booster,0
2021-02-25,Sabah,1st Booster,0
2021-02-25,Sarawak,1st Booster,0
2021-02-25,Selangor,1st Booster,0
2021-02-25,Terengganu,1st Booster,0
2021-02-25,Kuala Lumpur,1st Booster,0
2021-02-25,Labuan,1st Booster,0
2021-02-25,Putrajaya,1st Booster,0
2021-02-25,Malaysia,1st Booster,0
2021-02-25,Johor,2nd Booster,0
2021-02-25,Kedah,2nd Booster,0
2021-02-25,Kelantan,2nd Booster,0
2021-02-25,Melaka,2nd Booster,0
2021-02-25,Negeri Sembilan,2nd Booster,0
2021-02-25,Pahang,2nd Booster,0
2021-02-25,Perak,2nd Booster,0
2021-02-25,Perlis,2nd Booster,0
2021-02-25,Penang,2nd Booster,0
2021-02-25,Sabah,2nd Booster,0
2021-02-25,Sarawak,2nd Booster,0
2021-02-25,Selangor,2nd Booster,0
2021-02-25,Terengganu,2nd Booster,0
